PRODUCTNO,LOCATION
1031042-30-C,BP3-NCM
1016295-00-C,PT-SM-BP-01
1023214-07-C,AS-CP-SEQ
1024874-00-C,SU2-02000
1034487-00-B,AS-T01-110-W
1009991-01-B,CD1-04250
1031074-E0-A,PN-PR-020-1
1004777-15-K,CD1-06000
1008718-04-B,PL-IH-SA7
1013295-08-A,PN-PL
1036113-00-A,AS-IP2-010-EB
1039420-00-B,BP3-10700
1023228-02-E,AS-CP-SEQ
1050795-99-A,JB3-00500
1019313-00-B,BW-FT-BOS-BIW1
6007207-00-K,ST-3D-PUTAWAY
1013296-08-A,PN-PL
6006555-00-D,AS-C02-130-W
1032658-00-E,BIW-IN
1003286-00-L,CH1-02150
1030047-00-A,SU1-12000
1020734-00-A,SC2-00400
1016418-00-A,SC2-00900
1007664-00-A,AS-SF1-120-E
1008458-00-A,TP1-10040
1046952-00-B,TSUSHO
1015786-99-A,AS-ADT-010-WB
6005947,AS-KT1-120-W
1010574-00-A,ST-4D-TABLE1
1038973-00-A,TSUSHO
2003376,SU1-12000
1053261-00-A,SC2-00300
1053827-00-A,BP3-12200
1048524-00-B,AS-PL-110
1035666-00-B,AS-FL-SA1
1024709-00-A,ST-4D-TABLE1
1016954-00-A,PT-SM-BP-01
1031867-01-D,CHANGE-GA
1031868-01-D,CHANGE-GA
1021490-00-A,SC2-00100
6008629,AS-PR01-010-R
1022581-00-E,AS-REPAIR
1051538-00-A,PT-SM-DU-01
1052493-00-A,AS-RF1-020-E
1014199-01-C,BM6-11000
1013599-01-D,AS-3RW-010-E
1022349-00-A,PT-SM-SC-01
1031049-00-E,TP1-10300
1008905-04-D,PL-IH-SA
1017953-00-B,SC2-00503
1056965-00-A,AS-FL-160-W
1017412-03-A,PL-IMB-XX
1003341-00-B,HV2-00200
1052844-00-A,BP3-35200
1017877-00-C,JB6-00100
1058197-00-A,PL-IMB-XX
6007040-00-A,AS-SF1-250-W
1035647-00-B,CH6-03100
1017953-00-B,SC2-00501
1026899-02-E,JB3-00300
1015897-00-E,CD1-NCM
1031806-00-B,PT-SM-SC-01
1029352-00-A,SU2-02000
1026222-00-A,SU3-06000
1013411-00-A,BM3-00850
6007200-00-C,ST-4D-STACKING
1015608-01-C,BP3-03030
1024745-00-D,BP3-10500
1023098-01-B,SU2-15000
1038187-00-A,AS-C02-110-W
1009509-00-B,AS-FL-100-E
1034991-00-B,CHANGE-GA-EXP
1037757-00-A,SC2-00500
6006592-00-G,ST-3D-LINESIDE
1006392-00-A,BW-FT-BOS-BIW1
1056647-00-A,FA1-01700
1023190-01-C,PT-SM-EL-01
1028078-00-A,SC2-00100
1013839-00-C,AS-C02-110-W
1041304-00-B,BP3-15700
1038167-00-B,AS-RF1-020-E
1029164-00-A,SC2-00200
1007277-00-A,HV2-00405
1021647-00-B,PT-SM-SC-01
1023704-00-C,SU2-17000
1013296-02-A,PN-PL
1002392-00-B,AS-C02-020-E
1023240-00-B,PL-IH-SA10
1004423-03-M,AS-HRN-SEQ
6007202-00-C,PN-TC-030-1
1043963-02-A,AS-SF1-040-E
1017450-01-A,DM1-11020
1003402-04-E,PT-SM-DU-01
1034428-00-A,SJ1-00100
1013626-00-D,AS-T01-020-W
6008087-06-D,AS-T01-140-E
1004429-90-P,AS-T01-140-W
1053124-00-A,FS2-07000
1014963-04-A,PT-FG-CH3-H23U
1014963-00-G,PT-FG-CH3-H23U
1032274-90-C,AS-T03-010-W
1017045-00-A,SH1-00200
6007373-00-C,SU3-03000
1008718-00-B,PL-IH-SA
1019028-01-D,PT-SM-SC-01
1023468-00-C,TSUSHO
1004590-00-B,HV2-00400
1004672-00-A,TP1-10435
1047472-00-C,BP3-13200
2006968-00-A,AS-T03-030-WG
1010848-00-A,HP1-01000
1023316-00-A,SU2-03000
1013411-10-C,CT1-00500
1013295-02-A,PN-PL
1053123-00-B,FS2-06000
1030841-01-B,CH5-00100
1030269-00-A,CH5-00100
1026999-00-A,SC2-00401
1021844-01-C,SC1-00400
1028650-00-B,BIW-IN
1038162-05-A,SC2-00502
1014023-00-A,TP1-10300
1006866-00-A,RT1-80000
1015563-00-C,TM1-70000-B
1014252-00-F,BM6-04003
1033958-00-B,SC2-01200
1004588-00-B,HV2-00200
1018614-00-B,SC2-00800
1021950-00-A,AS-RF1-040-E
1008497-00-A,SC2-00901-B
1015897-00-C,CD1-06000
1003995-00-D,TP1-10380
1014359-01-A,PT-SM-DU-01
6007367-00-C,AS-C01-050-W
1030051-00-D,JB5-00200
1046849-01-A,SC2-00502
1018781-00-C,AS-T01-100-W
1030052-00-D,JB5-00200
1028546-00-B,AS-T02-070-E
1008557-00-A,SC2-00900
1025016-00-D,SU1-13000
1054095-00-A,BP3-09100
1033958-00-B,SC2-00600
1002773-00-A,PT-SM-BP-01
1055837-00-B,BP3-09100
1022406-00-B,SC2-00401
1036779-00-A,AS-REPAIR
1046668-00-A,BP3-09100
1046668-00-A,BP3-NCM
6006573-00-C,ST-3A-STACKING
1056847-00-A,BP3-09100
1054267-00-A,BP3-06200
1054267-00-A,BP3-09100
1046763-00-A,BP3-05200
1046763-00-A,BP3-09100
1054096-00-A,BP3-09100
1054268-00-A,BP3-06200
1022408-00-C,SC2-00401
1013935-00-A,AS-C02-110-W
6006485-00-D,ST-3D-LINESIDE
1038021-01-A,BP3-35200
1033011-00-A,AS-FM1-080-E
1019028-22-E,PT-SM-SC-01
1010572-00-B,ST-1B-TABLE1
6007372-00-A,PT-SM-SC-01
1030696-01-A,SU2-14000
1020312-00-D,AS-FL-110-E
1018510-00-B,SC2-00201-B
1003368-00-C,HV2-00200
1032924-00-A,SC2-00400
1033692-05-A,DM1-13500
1031759-00-A,PT-SM-EL-01
1013273-00-C,AS-T03-060-W
1030270-00-A,CH5-00100
1011614-00-A,CH1-01400
1014428-00-B,HV2-00400
1056964-00-A,AS-FL-160-W
6006016-00-D,AS-CC01-010
1048910-00-A,AS-T03-SA1-3B
1024874-00-C,SU2-11000
6006491-00-D,ST-3A-STACKING
1042519-00-A,SC2-00800
1003402-00-E,PT-SM-DU-01
6008067-00-D,BW-ST-CONS
1038162-04-A,SC2-00500
1030834-00-A,JB5-00100
1030696-00-A,SU2-14000
1023228-06-E,AS-CP-SEQ
1013659-00-C,HV2-00400
1014022-00-A,TP1-50010
1007461-00-A,CH1-01400
1024194-00-C,HV9-00410
1018509-00-C,PT-SM-SC-01
1043063-00-A,AS-RF1-020-E
1019028-00-D,SC2-00401
1028653-00-C,BIW-IN
1008557-00-A,SU3-05000
1002310-03-D,AS-CP-SEQ
1033416-00-B,SC2-00500
1022349-00-A,SC2-00400
1002536-07-B,PL-IH-SA
1024689-00-A,HV9-00410
1011490-00-B,HP1-01000
1023721-E0-A,PN-PR-020-1
1047040-00-A,PT-FG-BM-L20U_FLEX
1003368-01-C,HV2-00200
1018056-00-C,BP3-01000
1021119-00-A,SH1-00400
1038487-00-A,AS-INS-120-W
1053124-00-A,BP3-01000
1017666-00-D,PT-SM-BP-01
1028011-00-A,SC2-00402
1038162-01-A,SC2-00502
1034428-00-A,SU3-06000
1017720-00-A,HV9-00400
1020227-00-C,PT-SM-BP-01
1024569-00-D,CHANGE-GA
1008389-01-A,HV2-00400
1018258-00-A,SC2-00500
1028356-00-A,SC2-00100
1054591-00-A,BP3-05200
1030523-00-A,SU1-12000
1028385-02-A,AS-T02-060-E
1041375-00-A,SU4-14000
1028652-00-B,AS-T03-070-W
1019028-05-E,PT-SM-SC-01
6010351-00-H,BP3-03200
1008458-00-A,TP1-10060
1016383-01-A,TM1-70000-B
1023237-00-B,PL-IH-SA10
1035665-00-B,AS-FL-SA1
1008817-01-A,FA1-00400
1038706-00-A,AS-T03-030-E
6007367-00-E,AS-SF1-120-E
1011545-00-A,AS-T03-050-E
1013043-00-A,CD1-04500
1021844-03-B,PT-SM-SC-01
1014045-00-F,BP4-04004
1048526-00-B,AS-PL-110
1003403-00-E,PT-SM-DU-01
1033154-00-A,TP1-10370
1036476-00-A,FS3-06000
1021848-00-E,SC2-00300
1051618-00-A,PT-SM-MO-01
1038774-00-D,CH6-03100
1041042-00-A,AS-KT1-120-W
6008622-00-D,ST-METAL REPAIR
6008626-00-D,ST-METAL REPAIR
6008633-00-B,ST-METAL REPAIR
1043442-00-A,AS-RF1-020-E
1033175-01-A,SC2-01200
1056910-00-A,SU3-06000
1025794-01-B,TM1-00500-B
2001924,SC2-00900
1002773-00-A,SC2-00100
1030054-00-D,JB5-00300
1023211-07-B,AS-CP-SEQ
1023222-01-C,AS-CP-SEQ
1014345-00-A,FA1-01200
1042768-00-B,SC2-00502
1014023-00-A,TP1-10060
1023488-10-C,HV9-00410
1015589-00-B,AS-FL-080-W
1053340-00-A,DM1-13000
1018509-00-C,SC2-00800
1033157-00-A,TP1-20230
2007582,SU2-11000
1056787-00-A,SU5-11000
6005879-01-A,AS-C03-050-W
1034262-00-B,AS-RF1-020-E
1021934-00-A,SC2-00600
1042701-00-A,AS-REPAIR
1019028-22-E,SC2-00401-B
1036288-00-D,TP1-10040
1008244-00-H,AS-C02-060-WZ
1031957-00-B,AS-T01-080-E
1017046-00-A,SH1-00100
1014022-00-A,TP1-10300
1005361-00-C,CH1-01700
1028702-00-A,AS-FL-120-E
1018190-00-C,BW-AD-S1-01-1
1018506-00-D,SC2-00200
1043443-00-A,AS-RF1-020-E
1028157-90-B,AS-T01-030-W
1023878-00-A,SC2-01200
6007371-00-A,SU3-05000
1024380-00-A,HV2-00200
1021673-00-A,SC2-00400
1048910-00-A,AS-REPAIR
1051947-00-A,AS-FL-120-E
6008902-00-A,AS-FL-110-E
1007487-00-A,AS-SF2-030-E
1042391-00-D,CHANGE-GA
1038187-00-A,AS-C03-060-W
1007441-00-H,AS-FL-200-E
1026041-00-H,AS-CP01-010B
1006033-00-B,HV2-00400
1008905-04-D,PL-IH-SA2
1035749-00-A,SJ1-00100
1011448-00-B,PT-SM-BP-01
1024380-02-A,HV2-00200
6008065-99-D,ST-2D-LINESIDE
1021837-00-A,PT-SM-SC-01
1033692-02-A,DM1-15000
6006677-00-F,ST-METAL-REPAIR
6007344-00-F,AS-T02-070-E
1047494-00-A,DM1-45000
1033141-00-A,HV2-00400
1020215-00-A,HV9-00400
1047472-00-C,BP3-NCM
1047340-01-B,BP3-NCM
1008840-00-C,AS-T01-010-W
1003336-00-B,HV2-00200
1048886-00-B,AS-RF1-020-E
1031674-00-B,BW-MLN-020S
1028668-00-B,AS-T03-010-W
1048647-00-A,AS-RF1-020-E
1030073-00-C,HV2-00400
1023228-01-E,AS-OF-SEQ
1019229-00-C,AS-KT1-140-W
1019168-00-A,BP3-22100
1045528-00-C,AS-RF1-020-E
1017665-00-D,PT-SM-BP-01
1023258-00-C,AS-T03-090-W
1013659-00-C,HV2-00200
1005896-00-G,AS-KT1-100-EZ
1017794-00-A,AS-T03-060-W
1034074-00-A,SU4-11000
1005421-00-D,AS-T01-020-E
1009401-00-B,PT-SM-MO-01
1028643-00-B,AS-KT1-130-WZ
1034087-00-A,SU4-12000
1011485-00-C,AS-FT-BOS-GA1
1020226-00-A,AS-C02-110-W
1007287-00-A,AS-T02-080-W
6008044-00-E,ST-3D-LINESIDE
1023847-02-A,BM5-01000
1014252-01-F,BM6-07000
1042700-00-B,PT-SM-SC-01
1015604-00-D,BP3-12600
1024380-01-B,HV9-00400
6008087-07-D,AS-T01-140-E
1014350-01-D,FA1-00900
1021845-00-D,SC2-00501
1056962-00-A,AS-FL-160-W
1034369-00-D,CHANGE-GA
1034370-00-D,CHANGE-GA
1031678-00-A,CH2-01100
1005176-00-A,TP1-10435
1006524-00-A,AS-T03-040-E
1038706-00-A,AS-T03-020-W
1038706-00-A,AS-T03-SA1-E
1008334-06-G,PL-IH-SA
1019028-21-D,SC2-00401-B
1007277-00-A,HV2-00200
1024631-00-B,PL-IH-SA
1025462-00-B,SC2-00900
1017664-00-D,PT-SM-BP-01
1013294-00-A,TP1-10445
1008765-04-B,PL-IH-SA1
1008765-04-B,PL-IH-SA1B
1018884-20-D,BP3-09200
1043839-00-A,BP3-11200
6009185-00-A,TP1-40020
1008905-03-C,PL-IH-SA2
1008718-07-B,PL-IH-SA2
1028655-00-C,AS-T03-060-W
1026809-00-C,SH1-00400
1041309-00-D,BP3-15200
1013411-00-A,PT-SM-BP-01
1039998-00-A,AS-RF1-020-E
1051744-00-A,SC2-01200
1036865-00-C,AS-T01-010-W
1033025-00-B,CH5-00200
1025894-00-C,SC2-01201
1053934-01-A,PT-WS-SEQ
1042507-00-A,AS-SF2-020-EZ
1017199-01-A,SU5-11000
1048527-00-B,AS-PL-110
1038866-01-B,PT-FG-HPC-H24U
1023235-00-A,PL-IH-SA10
1045981-00-A,AS-T01-010-W
1047472-00-D,BP3-22300_RW
1015753-00-A,CHANGE-GA
1004588-00-B,HV2-00400
1006209-11-B,DT1-20100
1034260-00-B,AS-RF1-020-E
1037144-00-A,SJ1-00100
1035429-00-A,SU3-11000
1055452-00-A,AS-FL-240-E
1021854-00-C,SC2-00100
1034991-00-B,AS-RF1-020-E
1008638-00-B,CD1-01000
1038482-00-G,AS-FL-200-E
1024686-00-B,PL-IH-SA
1048948-99-D,AS-T03-010-E
1009246-00-D,AS-FL-080-W
1023049-02-B,SH1-00300
1041042-00-A,AS-KT1-140-W
1024686-04-B,PL-IH-SA
1028117-00-A,SU3-06000
1033968-00-B,SU5-11000
1055062-00-A,AS-RF1-020-E
1020791-00-A,SC2-00900
1003368-01-C,HV2-00205
1031042-20-C,BP3-11200
1031042-20-C,BP3-NCM
1031042-30-D,BP3-NCM
1048523-00-B,AS-PL-110
1048525-00-B,AS-PL-110
1056615-00-A,BP3-01000
1022620-00-G,PT-FG-HVC-F23U
1034356-00-D,AS-RF1-020-E
1021007-00-A,SU2-11000
1030758-00-A,SU5-11000
1013650-00-E,AS-T03-SA1-2
1033886-00-D,AS-RF1-020-E
1023048-00-D,BW-FT-BOS-BIW1
1037845-00-B,CH6-00100
1032719-00-A,BP4-10000
1031806-00-B,SC2-00402
1046849-01-A,SC2-00500
1016086-00-A,PT-SM-BP-01
6009000-00-C,PT-SM-BP-01
1018515-00-A,SC2-00200
1037741-00-A,CH5-00300
1012610-00-B,AS-FT-BOS-GA4
1011642-00-B,AS-T01-010-W
1045689-00-A,AS-RF1-020-E
1009089-00-A,AS-FL-120-E
1038338-00-A,AS-FL-120-E
1009153-00-C,AS-KT1-140-W
1016211-00-D,TM1-20000
1018100-00-B,PL-IMB-XX
1048072-00-A,BP3-10700
1011473-00-A,HV9-00400
1002536-04-B,PL-IH-SA7
1030053-00-D,JB5-00300
1048150-00-A,SW3-00005
1010924-00-A,SU3-11000
1019614-00-A,BW-AD-S1-01-1
1034074-00-A,SU4-12000
1014252-01-F,BM6-07000-B
1018312-00-A,PL-IH-SA3
6007415-00-D,ST-1B-STACKING
1008415-05-B,PL-IMB-XX
1035764-00-D,AS-RF1-020-E
1019229-00-C,PL-IMB-XX
1022620-10-G,AS-REPAIR
1023847-02-A,BM3-02300
1030305-00-C,SU5-11000
1025704-00-A,SU3-02000
1025704-00-A,SU3-03000
1052917-00-A,PL-IMB-XX
1043539-00-B,BP3-12200
1048666-00-A,AS-RF1-020-E
1012610-00-A,AS-FT-BOS-GA4
1047040-00-A,BP3-05200
1014329-00-B,SU1-12000
1028355-00-A,SC2-01200
1014022-00-A,TP1-10060
6008047-00-E,AS-SF1-010-E
1007373-00-L,AS-REPAIR
1003352-00-C,HV2-00400
1038162-07-A,SC2-00502
1036485-00-A,AS-T03-010-E
1021852-00-C,SC2-00100
1028070-00-C,SH1-00400
1004423-00-P,CHANGE-GA-EXP
1055688-00-A,BP3-09200
1018721-00-C,SH1-00300
1006841-00-A,HV2-00400
1034085-00-A,SU4-12000
