PRODUCTNO,LOCATION
1023228-07-C,AS-CP-SEQ
1023232-07-G,PL-IH-SA
1023234-07-G,PL-IH-SA10
1023235-00-A,PL-IH-SA10
1023237-00-B,PL-IH-SA10
1023240-00-B,PL-IH-SA10
1023258-00-C,AS-T03-090-W
1023267-00-D,PL-IMB-XX
1023268-00-B,AS-C02-040-W
1023316-00-A,SU2-03000
1023365-00-B,CH5-00100
1023381-00-D,AS-FL-200-E
1023381-00-E,AS-REPAIR
1023414-00-A,PT-SM-MO-01
1023467-00-C,TSUSHO
1023468-00-C,TSUSHO
1023488-10-C,HV9-00410
1023488-10-C,PT-RPK-CART
1023536-00-A,SU4-12000
1023624-00-B,SU2-03000
1023646-00-C,SU2-03000
1023647-00-B,SU2-03000
1023649-00-B,SU2-11000
1023661-10-E,SU2-11000
1023665-10-D,SU2-14000
1023683-00-A,SU2-11000
1023684-00-A,SU2-11000
1023686-00-A,SU2-11000
1023704-00-C,SU2-17000
1023706-00-A,SU2-03000
1023707-00-A,SU2-11000
1023709-00-A,SU2-11000
1023721-E0-A,PN-PR-020-1
1023727-00-B,PT-SM-SC-01
1023738-00-B,PT-SM-SC-01
1023781-00-A,BM3-00400
1023781-00-A,PT-SM-MO-01
1023839-00-A,SC2-00500
1023847-02-A,BM3-00600
1023847-02-A,BM3-02300
1023847-02-A,BM5-01000
1023847-02-A,BM5-01200
1023848-02-A,BM5-01200
1023880-00-A,SH1-00100
1023880-00-A,SH1-00200
1023881-00-A,SH1-00100
1023882-00-A,SH1-00100
1023892-00-A,TM1-70000-B
1023900-00-A,AS-EU-DIS
1024018-00-C,AS-PL-030
1024019-00-C,AS-PL-030
1024031-00-A,AS-EU-DIS
1024034-00-A,SJ1-00100
1024048-00-A,SJ1-00100
1024081-00-E,PT-SM-SC-01
1024081-00-E,SJ1-00100
1024194-00-C,HV9-00410
1024237-01-A,AS-CC01-010
1024238-03-A,AS-CC01-010
1024238-09-B,AS-CC01-010
1024380-00-A,HV2-00200
1024380-00-A,HV2-00400
1024380-01-B,HV9-00400
1024380-97-A,HV2-00200
1024380-97-A,HV2-00400
1024380-97-A,HV9-00205
1024380-99-A,HV2-00200
1024434-00-A,SU2-11000
1024452-01-C,TM1-70000
1024456-01-E,TM1-00500
1024459-01-B,TM1-20000
1024569-00-D,CHANGE-GA
1024573-00-A,SH1-00400
1024577-00-A,SH1-00100
1024631-00-B,PL-IH-SA
1024631-06-B,PL-IH-SA
1024631-07-B,PL-IH-SA
1024665-00-D,CH4-00900
1024686-00-B,PL-IH-SA
1024686-04-B,PL-IH-SA
1024686-06-B,PL-IH-SA
1024686-07-B,PL-IH-SA
1024689-00-A,HV9-00410
1024689-00-A,PT-RPK-CART
1024709-00-A,ST-4D-TABLE1
1024745-00-D,BP3-10500
1024777-00-B,RT1-20000
1024809-00-B,AS-KT1-120-WZ
1024818-00-B,PT-FG-SU-C25L
1024860-10-A,HV9-00400
1024860-10-A,HV9-00405
1024874-00-C,SU1-13000
1024874-00-C,SU1-14000
1024874-00-C,SU2-02000
1024874-00-C,SU2-11000
1024892-00-A,PT-RPK-CART
1024946-00-E,SU2-02000
1024946-00-E,SU2-11000
1024956-05-C,AS-T01-090-E
1024996-00-A,TM1-00500-B
1025016-00-D,SU1-13000
1025016-00-D,SU2-02000
1025116-01-D,DM1-11020-B
1025213-00-B,AS-FL-260-W
1025213-00-B,PL-IH-SA8
1025552-10-A,HV2-10000
1025552-10-A,HV9-00400
1025587-10-A,AS-T03-040-W
1025603-00-A,SU4-12000
1025607-01-A,SH1-00200
1025612-01-D,JB3-00100
1025683-00-B,SU2-02000
1025704-00-A,SU3-02000
1025704-00-A,SU3-03000
1025789-10-A,SU2-02000
1025794-01-B,TM1-00500-B
1025847-10-C,JB3-00300
1025849-10-B,JB3-00350
1025869-00-A,SH1-00200
1025871-00-A,SH1-00200
1025876-00-C,SU5-11000
1026041-00-H,AS-CP01-010B
1026041-00-H,AS-REPAIR
1026041-00-H,AS-T03-040-W
1026041-00-J,CHANGE-GA
1026222-00-A,SU3-06000
1026335-00-A,SU5-11000
1026336-00-A,SU5-11000
1026367-00-B,SU2-03000
1026367-00-B,SU2-15000
1026367-00-C,SU2-03000
1026497-00-A,SU2-03000
1026640-92-D,AS-T01-090-W
1026644-01-E,AS-IP1-020-E
1026644-02-D,AS-IP1-020-E
1026708-00-A,CD1-01000
1026722-00-A,HV2-00200
1026722-00-A,PT-RPK-CART
1026738-00-A,AS-FL-080-W
1026750-00-A,BP4-07000
1026806-00-A,SH1-00400
1026807-00-A,SH1-00200
1026807-00-A,SH1-00400
1026808-00-A,SH1-00300
1026809-00-C,SH1-00400
1026849-01-A,CD1-01000
1026898-00-B,AS-T02-100-E
1026899-00-E,JB3-00300
1026899-02-E,JB3-00150
1026899-02-E,JB3-00300
1026912-00-A,BW-FT-BOS-BIW3
1026914-00-A,SU2-17000
