PRODUCTNO,LOCATION
1015608-01-C,BP3-03030
6007373-00-C,SU3-03000
1023646-00-C,SU2-03000
6006455-01-A,AS-BK-RT-5
1021507-00-F,SU2-03000
1008718-00-B,PL-IH-SA
1014963-05-A,PT-FG-CH3-H23U
1019028-01-D,PT-SM-SC-01
1023468-00-C,TSUSHO
1038572-00-B,DM1-32000
1004590-00-B,HV2-00400
1004672-00-A,TP1-10435
1003338-00-C,PT-RPK-CART
1028690-00-A,AS-T02-SA1-2
1047472-00-C,BP3-13200
1009683-00-C,AS-FL-100-W
1010584-00-C,ST-4D-TABLE1
2006968-00-A,AS-T03-030-WG
1056965-00-A,AS-FL-160-W
1007285-00-C,AS-T02-080-W
1010848-00-A,HP1-01000
1023316-00-A,SU2-03000
1013411-10-C,CT1-00500
1013295-02-A,PN-PL
1053123-00-B,FS2-06000
1030269-00-A,CH5-00100
1021844-01-C,SC1-00400
1028650-00-B,BIW-IN
1014023-00-A,TP1-10300
1003385-02-H,TP1-50030
1038162-06-A,SC2-00500
1004588-00-B,HV2-00200
1014513-00-D,BP4-05000
1026898-00-B,AS-T02-100-E
1021950-00-A,AS-RF1-040-E
1043839-00-A,BP3-11200
1011899-00-A,HP1-00400
1015897-00-C,CD1-06000
1052775-00-A,AS-BK-RT-12
1014359-01-A,PT-SM-DU-01
1030051-00-D,JB5-00200
1046849-01-A,SC2-00502
1028653-00-C,BIW-IN
1018781-00-C,AS-T01-100-W
1055452-00-A,AS-FL-240-W
1030052-00-D,JB5-00200
1039593-00-A,CHANGE-GA-EXP
1022404-00-A,PT-SM-SC-01
1014395-00-A,AS-PL-100
1028157-00-C,AS-T01-SA1-2
1028546-00-B,AS-T02-070-E
1025016-00-D,SU1-13000
1054095-00-A,BP3-09100
1033958-00-B,SC2-00600
1002773-00-A,PT-SM-BP-01
1010598-00-B,ST-2D-LINESIDE
1055837-00-B,BP3-09100
1036779-00-A,AS-REPAIR
1046668-00-A,BP3-09100
1046668-00-A,BP3-09200
1022632-00-B,PT-RPK-CART
6006573-00-C,ST-3A-STACKING
1056847-00-A,BP3-09100
1054267-00-A,BP3-06200
1054267-00-A,BP3-09100
1046763-00-A,BP3-05200
1046763-00-A,BP3-09100
1046763-00-A,BP3-09200
1054096-00-A,BP3-09100
1054268-00-A,BP3-06200
1038021-01-A,BP3-35200
1010405-00-B,PT-SM-BP-01
1036542-00-A,SU4-12000
1030696-01-A,SU2-14000
1020312-00-D,AS-FL-110-E
1022635-00-B,PT-RPK-CART
1013935-00-A,AS-C02-110-W
1032108-00-A,SM1-01000
1033692-05-A,DM1-13500
1031759-00-A,PT-SM-EL-01
1011614-00-A,CH1-01400
1056964-00-A,AS-FL-160-W
1024874-00-C,SU2-11000
1048681-00-A,JB3-00300
1042519-00-A,SC2-00800
6008067-00-D,BW-SPM-010
1043063-00-A,AS-RF1-020-E
1038162-04-A,SC2-00500
1030834-00-A,JB5-00100
6007484-00-C,AS-BK-RT-5
1030696-00-A,SU2-14000
1023228-06-E,AS-CP-SEQ
1013659-00-C,HV2-00400
1014022-00-A,TP1-50010
1007461-00-A,CH1-01400
1012106-00-D,BP3-19100
1006221-01-C,DT1-10200
1019028-00-D,SC2-00401
1006392-00-A,AS-RF1-010-E
1008557-00-A,SU3-05000
1002310-03-D,AS-CP-SEQ
1052917-00-A,PL-IMB-XX
1011490-00-B,HP1-01000
1023721-E0-A,PN-PR-020-1
1047040-00-A,PT-FG-BM-L20U_FLEX
1028117-00-A,SU3-06000
1018056-00-C,BP3-01000
1021119-00-A,SH1-00400
1038487-00-A,AS-INS-120-W
1020452-00-C,PT-SM-EL-01
1053124-00-A,BP3-01000
1030602-00-E,AS-BK-RT-25
6008508,TP1-10435
1017666-00-D,PT-SM-BP-01
1005823-00-A,SE1-10000
1034428-00-A,SU3-06000
1007767-00-D,ST-METAL REPAIR
1020227-00-C,PT-SM-BP-01
1024569-00-D,CHANGE-GA
1034261-00-B,AS-RF1-020-E
1037069-00-B,AS-BK-RT-5
1030270-00-A,CH5-00100
1008389-01-A,HV2-00400
1028665-00-C,CHANGE-GA
1022814-00-D,JB3-00100
1018551-00-C,BP3-26100
1018258-00-A,SC2-00500
1054591-00-A,BP3-05200
1038488-00-A,AS-INS-120-W
1026646-73-D,AS-HRN-SEQ
1030523-00-A,SU1-12000
1033570-00-B,SU4-12000
1028385-02-A,AS-T02-060-E
1041375-00-A,SU4-14000
1028652-00-B,AS-T03-070-W
1038162-02-A,SC2-00502
1019028-05-E,PT-SM-SC-01
6010351-00-H,BP3-03200
1008458-00-A,TP1-10060
1020911-05-B,TP1-10400
1016383-01-A,TM1-70000-B
