PRODUCTNO,LOCATION
1048523-00-B,AS-PL-110
1048525-00-B,AS-PL-110
1056615-00-A,BP3-01000
1022620-00-G,PT-FG-HVC-F23U
1030758-00-A,SU5-11000
1013650-00-E,AS-T03-SA1-2
1023048-00-D,BW-FT-BOS-BIW1
1037845-00-B,CH6-00100
1032719-00-A,BP4-10000
1039577-00-E,BP3-10700
1003830-00-B,ST-1B-STACKING
1010906-00-F,AS-REPAIR
1016086-00-A,PT-SM-BP-01
6009000-00-C,PT-SM-BP-01
1012610-00-B,AS-FT-BOS-GA4
1011642-00-B,AS-T01-010-W
1038338-00-A,AS-FL-120-E
1013634-00-B,AS-3RW-020-E
1009153-00-C,AS-KT1-140-W
1016211-00-D,TM1-20000
1048072-00-A,BP3-10700
1011473-00-A,HV9-00400
1002536-04-B,PL-IH-SA7
1030053-00-D,JB5-00300
1048150-00-A,SW3-00005
1019614-00-A,BW-AD-S1-01-1
1014252-01-F,BM6-07000-B
1018312-00-A,PL-IH-SA3
1019229-00-C,PL-IMB-XX
1022620-10-G,AS-REPAIR
1030305-00-C,SU5-11000
1013273-00-C,AS-T03-010-W
1052917-00-A,PL-IMB-XX
1043539-00-B,BP3-12200
1012610-00-A,AS-FT-BOS-GA4
1047040-00-A,BP3-05200
1014022-00-A,TP1-10060
6008047-00-E,AS-SF1-010-E
1007373-00-L,AS-REPAIR
1003352-00-C,HV2-00400
1028070-00-C,SH1-00400
1055688-00-A,BP3-09200
1018721-00-C,SH1-00300
1006841-00-A,HV2-00400
1003368-00-C,HV2-00205
1026738-00-A,AS-FL-080-W
1045741-00-A,AS-T01-080-E
1028690-00-A,AS-T02-040-E
1028667-00-B,AS-T01-010-W
1038514-00-A,HP1-01000
1024380-00-A,HV2-00400
6007446-00-H,PL-IMB-XX
1039577-00-C,BP3-10500
1038067-00-B,HP1-00200
1009857-00-C,HP1-01000
1018787-01-A,AS-T02-060-E
1005124-00-A,AS-T02-100-E
1023049-01-B,SH1-00300
